card_no,adv_tag
VEN-001,"[""强化·强化"", ""费用·条件减费"", ""强化·已强化奖励"", ""战力·条件加成""]"
VEN-002,"[""频率·每回合限一次"", ""触发·移动"", ""牌库·燃烧""]"
VEN-003,"[""摧毁·装备"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-004,"[""持续·光环常驻""]"
VEN-005,"[""触发·回合开始"", ""符文·数量条件"", ""战力·条件加成"", ""战力·增强本回合""]"
VEN-006,"[""触发·回合开始"", ""符文·数量条件"", ""战力·条件加成"", ""战力·增强本回合"", ""移动·单位""]"
VEN-007,"[""强化·强化"", ""牌库·弃牌"", ""强化·已强化奖励"", ""战力·增强单体"", ""战力·永久成长""]"
VEN-008,"[""费用·可选额外"", ""牌库·弃牌"", ""伤害·单体""]"
VEN-009,"[""触发·进攻"", ""费用·可选额外"", ""战力·条件加成"", ""战力·增强本回合""]"
VEN-010,"[""伤害·单体"", ""伤害·法术伤害加成""]"
VEN-011,"[""触发·移动"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-012,"[""状态·激活"", ""战力·增强单体"", ""战力·增强本回合"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-013,"[""状态·以活跃进场""]"
VEN-014,"[""强化·强化"", ""强化·已强化奖励"", ""战力·条件加成""]"
VEN-015,"[""伤害·单体""]"
VEN-016,"[""触发·移动"", ""符文·数量条件"", ""牌库·抽牌""]"
VEN-017,"[""触发·进场"", ""伤害·单体"", ""伤害·等同战力""]"
VEN-018,"[""强化·强化"", ""持续·光环常驻"", ""战力·增强群体"", ""强化·已强化奖励""]"
VEN-019,"[""触发·进攻"", ""符文·数量条件"", ""伤害·群体""]"
VEN-020,"[""触发·进攻"", ""状态·激活""]"
VEN-021,"[""强化·强化"", ""触发·移动"", ""伤害·单体"", ""强化·已强化奖励"", ""战力·增强单体"", ""战力·永久成长""]"
VEN-022,"[""触发·进场"", ""牌库·放逐"", ""牌库·燃烧"", ""持续·光环常驻"", ""牌库·打出""]"
VEN-023,"[""费用·可选额外"", ""牌库·弃牌"", ""触发·进场"", ""衍生·单位""]"
VEN-024,"[""触发·战斗"", ""牌库·抽牌""]"
VEN-025,"[""符文·数量条件"", ""保护·抵挡伤害""]"
VEN-026,"[""触发·进场"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-027,"[""战力·条件加成""]"
VEN-028,"[""触发·战斗"", ""强化·强化"", ""强化·已强化奖励"", ""战力·增强单体"", ""战力·永久成长""]"
VEN-029,"[""持续·光环常驻"", ""限制·行动禁止""]"
VEN-030,"[""强化·强化"", ""强化·已强化奖励"", ""战力·条件加成""]"
VEN-031,"[""战力·增强单体"", ""战力·增强本回合"", ""状态·免疫"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-032,"[""强化·强化"", ""费用·条件减费"", ""强化·已强化奖励"", ""战力·增强单体"", ""战力·永久成长""]"
VEN-033,"[""触发·移动"", ""牌库·查看"", ""牌库·抽牌"", ""牌库·燃烧"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-034,"[""移动·单位"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-035,"[""强化·强化"", ""强化·解除强化"", ""触发·回合结束""]"
VEN-036,"[""持续·光环常驻"", ""限制·行动禁止"", ""符文·召出""]"
VEN-037,"[""触发·进场"", ""符文·数量条件"", ""摧毁·装备"", ""强化·解除强化""]"
VEN-038,"[""持续·光环常驻"", ""状态·免疫"", ""触发·移动"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-039,"[""反制·无效化法术""]"
VEN-040,"[""战力·增强单体"", ""战力·增强本回合""]"
VEN-041,"[""费用·减费"", ""触发·进攻"", ""伤害·单体"", ""伤害·法术伤害加成""]"
VEN-042,"[""触发·据守"", ""牌库·抽牌""]"
VEN-043,"[""强化·强化"", ""强化·已强化奖励"", ""战力·增强单体"", ""战力·永久成长""]"
VEN-044,"[""触发·打出"", ""持续·光环常驻"", ""费用·减费"", ""频率·每回合限一次""]"
VEN-045,"[""强化·强化"", ""费用·加费"", ""强化·已强化奖励""]"
VEN-046,"[""强化·强化"", ""强化·已强化奖励"", ""触发·征服""]"
VEN-047,"[""强化·强化"", ""强化·已强化奖励"", ""牌库·查看"", ""牌库·放回"", ""战力·增强单体"", ""战力·永久成长""]"
VEN-048,"[""触发·进场"", ""牌库·抽牌""]"
VEN-049,"[""牌库·抽牌"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-050,"[""强化·强化"", ""费用·条件减费"", ""强化·已强化奖励"", ""战力·条件加成""]"
VEN-051,"[""衍生·单位"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-052,"[""互动·返回手牌"", ""战力·削弱""]"
VEN-053,"[""触发·征服"", ""触发·据守"", ""牌库·抽牌""]"
VEN-054,"[""强化·强化"", ""强化·解除强化"", ""主动·横置技能"", ""主动·支付费用技能"", ""牌库·抽牌""]"
VEN-055,"[""强化·强化"", ""强化·已强化奖励"", ""费用·减费""]"
VEN-056,"[""牌库·查看"", ""牌库·放回"", ""牌库·抽牌""]"
VEN-057,"[""强化·强化"", ""强化·已强化奖励"", ""触发·移动"", ""牌库·抽牌""]"
VEN-058,"[""状态·以休眠进场"", ""触发·进场"", ""牌库·抽牌""]"
VEN-059,"[""费用·条件减费"", ""伤害·单体""]"
VEN-060,"[""牌库·弃牌"", ""主动·横置技能"", ""主动·支付费用技能"", ""伤害·单体""]"
VEN-061,"[""战力·削弱""]"
VEN-062,"[""状态·以休眠进场"", ""主动·横置技能"", ""强化·强化""]"
VEN-063,"[""频率·每回合限一次"", ""触发·摧毁"", ""符文·召出""]"
VEN-064,"[""费用·条件减费""]"
VEN-065,"[""牌库·查看"", ""牌库·放回"", ""触发·征服""]"
VEN-066,"[""牌库·放逐"", ""费用·免费打出""]"
VEN-067,"[""触发·回合开始"", ""摧毁·单位"", ""摧毁·装备""]"
VEN-068,"[""触发·进场"", ""触发·打出"", ""频率·每回合限一次"", ""状态·激活""]"
VEN-069,"[""触发·进场"", ""牌库·抽牌"", ""强化·强化"", ""强化·已强化奖励"", ""反制·无效化法术""]"
VEN-070,"[""强化·强化"", ""强化·已强化奖励"", ""战力·增强单体"", ""战力·永久成长"", ""移动·单位""]"
VEN-071,"[""状态·激活"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-072,"[""战力·增强单体"", ""战力·增强本回合""]"
VEN-073,[]
VEN-074,"[""强化·强化"", ""强化·已强化奖励"", ""战力·增强单体"", ""战力·永久成长""]"
VEN-075,"[""状态·以休眠进场"", ""强化·强化"", ""主动·横置技能"", ""资源·获得费用"", ""强化·已强化奖励""]"
VEN-076,"[""战力·条件加成"", ""战力·永久成长""]"
VEN-077,"[""强化·强化"", ""主动·横置技能"", ""战力·增强单体"", ""战力·增强本回合"", ""强化·已强化奖励""]"
VEN-078,"[""强化·强化"", ""强化·已强化奖励"", ""战力·增强单体"", ""战力·永久成长"", ""触发·摧毁"", ""符文·召出""]"
VEN-079,"[""强化·强化"", ""强化·已强化奖励"", ""触发·进攻"", ""触发·防守"", ""战力·调整"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-080,"[""触发·征服"", ""摧毁·装备""]"
VEN-081,"[""战力·增强单体"", ""战力·增强本回合"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-082,"[""触发·进场"", ""强化·解除强化"", ""强化·强化""]"
VEN-083,"[""费用·可选额外"", ""战力·增强单体"", ""战力·增强本回合"", ""伤害·等同战力""]"
VEN-084,"[""强化·强化"", ""强化·已强化奖励"", ""战力·增强单体"", ""战力·永久成长"", ""保护·抵挡伤害""]"
VEN-085,"[""干扰·展示手牌"", ""干扰·弃对手手牌""]"
VEN-086,"[""强化·强化"", ""强化·已强化奖励"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-087,"[""强化·强化"", ""主动·横置技能"", ""强化·解除强化"", ""主动·支付费用技能"", ""衍生·单位""]"
VEN-088,"[""状态·激活"", ""战力·增强本回合"", ""战力·条件加成"", ""移动·单位""]"
VEN-089,"[""牌库·查看"", ""牌库·放逐"", ""费用·减费"", ""牌库·放回"", ""强化·强化""]"
VEN-090,"[""摧毁·单位""]"
VEN-091,"[""状态·以活跃进场"", ""触发·进攻"", ""移动·敌方"", ""互动·召回基地""]"
VEN-092,"[""主动·支付费用技能"", ""战力·增强单体"", ""战力·增强本回合"", ""强化·强化"", ""强化·已强化奖励"", ""移动·单位""]"
VEN-093,"[""强化·强化"", ""强化·已强化奖励"", ""战力·增强单体"", ""战力·永久成长"", ""移动·单位""]"
VEN-094,"[""触发·弃置"", ""费用·可选额外"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-095,"[""触发·移动"", ""费用·可选额外"", ""牌库·燃烧"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-096,"[""费用·条件减费""]"
VEN-097,"[""战力·条件加成"", ""战力·永久成长""]"
VEN-098,"[""持续·光环常驻"", ""费用·减费""]"
VEN-099,"[""触发·进场"", ""强化·强化"", ""触发·回合结束"", ""强化·解除强化""]"
VEN-100,"[""衍生·单位"", ""特性·属性联动"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-101,"[""费用·可选额外"", ""触发·进场"", ""牌库·放逐"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-102,"[""触发·打出"", ""牌库·放逐""]"
VEN-103,"[""牌库·回收""]"
VEN-104,"[""强化·强化"", ""强化·已强化奖励"", ""牌库·打出"", ""费用·免费打出""]"
VEN-105,"[""移动·单位"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-106,"[""牌库·放逐"", ""互动·返回手牌""]"
VEN-107,"[""互动·返回手牌""]"
VEN-108,"[""触发·进场"", ""触发·回合开始"", ""牌库·燃烧"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-109,"[""触发·进场"", ""衍生·单位"", ""特性·属性联动"", ""战力·条件加成"", ""战力·永久成长""]"
VEN-110,"[""强化·强化"", ""牌库·弃牌"", ""强化·已强化奖励"", ""牌库·放逐""]"
VEN-111,"[""触发·移动"", ""牌库·弃牌"", ""牌库·抽牌""]"
VEN-112,"[""触发·征服"", ""衍生·单位"", ""主动·支付费用技能"", ""移动·换位""]"
VEN-113,"[""触发·进场"", ""牌库·燃烧"", ""触发·征服"", ""费用·可选额外""]"
VEN-114,"[""强化·强化"", ""强化·已强化奖励"", ""牌库·燃烧"", ""牌库·打出"", ""费用·免费打出""]"
VEN-115,"[""位置·开放战场"", ""触发·进场"", ""互动·返回手牌"", ""特性·属性联动""]"
VEN-116,"[""战力·调整"", ""战力·增强本回合"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-117,"[""战力·条件加成""]"
VEN-118,[]
VEN-119,"[""费用·条件减费""]"
VEN-120,"[""费用·可选额外"", ""触发·进场"", ""状态·眩晕""]"
VEN-121,"[""触发·打出"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-122,"[""强化·强化"", ""强化·已强化奖励"", ""战力·增强单体"", ""战力·永久成长""]"
VEN-123,[]
VEN-124,"[""强化·强化"", ""摧毁·单位"", ""强化·已强化奖励"", ""战力·增强单体"", ""战力·永久成长""]"
VEN-125,"[""主动·支付费用技能"", ""状态·激活"", ""战力·增强单体"", ""战力·增强本回合"", ""频率·每回合限一次""]"
VEN-126,"[""保护·抵挡伤害""]"
VEN-127,"[""强化·解除强化"", ""摧毁·单位"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-128,"[""强化·强化"", ""强化·已强化奖励"", ""触发·摧毁"", ""衍生·单位""]"
VEN-129,"[""持续·光环常驻"", ""限制·行动禁止""]"
VEN-130,"[""强化·强化"", ""强化·已强化奖励"", ""持续·光环常驻"", ""战力·增强群体""]"
VEN-131,"[""摧毁·单位"", ""摧毁·装备""]"
VEN-132,"[""触发·进场"", ""持续·光环常驻"", ""限制·行动禁止""]"
VEN-133,"[""强化·强化"", ""强化·解除强化"", ""主动·横置技能"", ""互动·夺控"", ""互动·召回基地"", ""触发·回合结束"", ""摧毁·装备"", ""伤害·群体""]"
VEN-134,"[""强化·强化"", ""强化·已强化奖励"", ""战力·条件加成"", ""战力·永久成长"", ""移动·单位""]"
VEN-135,"[""触发·进场"", ""触发·进攻"", ""费用·可选额外"", ""状态·眩晕"", ""战力·条件加成""]"
VEN-136,"[""强化·强化"", ""强化·已强化奖励"", ""战力·条件加成"", ""触发·进攻"", ""摧毁·单位""]"
VEN-137,"[""复制·效果技能""]"
VEN-138,"[""触发·据守""]"
VEN-139,"[""强化·强化"", ""主动·横置技能"", ""移动·单位"", ""互动·召回基地"", ""强化·已强化奖励"", ""状态·激活""]"
VEN-140,"[""伤害·单体"", ""移动·单位"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-141,"[""主动·横置技能"", ""主动·支付费用技能"", ""资源·获得费用""]"
VEN-142,"[""战力·调整"", ""战力·增强本回合"", ""费用·可选额外""]"
VEN-143,"[""牌库·放逐"", ""强化·强化"", ""强化·解除强化"", ""主动·横置技能"", ""牌库·弃牌"", ""牌库·抽牌""]"
VEN-144,"[""牌库·燃烧"", ""衍生·单位"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-145,"[""触发·打出"", ""状态·休眠化"", ""符文·激活""]"
VEN-146,"[""伤害·单体"", ""符文·数量条件"", ""触发·摧毁"", ""符文·召出""]"
VEN-147,"[""主动·横置技能"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-148,"[""移动·敌方"", ""战力·增强单体"", ""战力·增强本回合"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-149,"[""强化·强化"", ""主动·横置技能"", ""主动·支付费用技能"", ""状态·激活"", ""强化·已强化奖励""]"
VEN-150,"[""状态·激活"", ""符文·激活""]"
VEN-151,"[""强化·强化"", ""强化·解除强化"", ""主动·横置技能"", ""战力·削弱""]"
VEN-152,"[""反制·无效化法术"", ""费用·可选额外"", ""互动·夺控""]"
VEN-153,"[""强化·强化"", ""强化·解除强化"", ""主动·横置技能"", ""主动·支付费用技能"", ""状态·激活""]"
VEN-154,"[""摧毁·单位"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-155,"[""触发·打出"", ""强化·强化"", ""强化·解除强化"", ""主动·横置技能"", ""战力·增强单体"", ""战力·增强本回合""]"
VEN-156,"[""牌库·查看"", ""牌库·抽牌"", ""牌库·燃烧"", ""牌库·打出"", ""费用·可选额外"", ""牌库·放逐""]"
VEN-157,"[""费用·可选额外"", ""特性·属性联动"", ""位置·开放战场""]"
VEN-158,"[""持续·光环常驻""]"
VEN-159,"[""持续·光环常驻"", ""战力·增强群体"", ""战力·条件加成""]"
VEN-160,"[""持续·光环常驻"", ""费用·加费""]"
VEN-161,"[""持续·光环常驻"", ""费用·减费"", ""频率·每回合限一次""]"
VEN-162,"[""触发·征服"", ""符文·数量条件"", ""费用·可选额外"", ""牌库·抽牌""]"
VEN-163,"[""持续·光环常驻"", ""费用·减费""]"
VEN-164,"[""持续·光环常驻"", ""费用·减费"", ""触发·被选为目标""]"
VEN-165,"[""触发·据守"", ""牌库·燃烧""]"
VEN-166,"[""触发·战斗"", ""资源·获得费用""]"
VEN-T02,"[""主动·横置技能"", ""资源·获得费用"", ""摧毁·装备""]"
VEN-T05,"[""触发·进攻"", ""费用·可选额外"", ""牌库·放逐"", ""战力·增强单体"", ""战力·增强本回合""]"
